readersAmount,writersAmount,readerAvgWaitTime,writerAvgWaitTime
10,1,3,82,4,86
15,1,0,03,0,03
20,1,1,56,2,07
25,1,1,79,3,29
30,1,2,04,2,66
35,1,1,92,3,35
40,1,1,49,2,99
45,1,1,07,2,83
50,1,1,93,0,28
55,1,2,40,4,24
60,1,0,26,0,49
65,1,3,16,1,48
70,1,2,88,5,11
75,1,3,53,5,80
80,1,3,63,6,85
85,1,4,34,7,78
90,1,4,80,6,33
95,1,4,19,5,81
100,1,4,56,8,70
10,2,0,72,1,41
15,2,1,00,1,82
20,2,1,34,2,45
25,2,1,30,2,26
30,2,1,54,3,58
35,2,1,48,2,79
40,2,2,47,4,32
45,2,2,27,4,14
50,2,3,06,5,58
55,2,3,68,6,43
60,2,3,39,6,21
65,2,3,67,7,24
70,2,4,38,7,31
75,2,5,09,6,43
80,2,3,85,7,14
85,2,3,83,7,86
90,2,5,69,9,89
95,2,3,65,7,05
100,2,4,75,9,12
10,3,1,01,1,68
15,3,1,62,2,74
20,3,1,13,2,09
25,3,1,64,3,00
30,3,2,41,3,86
35,3,2,38,4,11
40,3,2,83,4,76
45,3,1,99,4,36
50,3,2,68,4,89
55,3,3,57,5,94
60,3,3,50,6,67
65,3,2,59,5,65
70,3,3,33,5,41
75,3,3,90,7,11
80,3,4,82,8,70
85,3,3,97,8,18
90,3,4,78,8,96
95,3,4,53,8,11
100,3,5,62,6,87
10,4,0,85,1,78
15,4,1,35,1,39
20,4,1,33,2,57
25,4,0,80,1,99
30,4,1,54,3,18
35,4,2,14,3,74
40,4,1,80,3,94
45,4,2,24,4,53
50,4,3,25,5,65
55,4,3,32,4,13
60,4,3,67,6,51
65,4,3,56,7,07
70,4,5,03,7,91
75,4,3,58,6,75
80,4,4,70,8,14
85,4,5,31,10,22
90,4,4,46,8,30
95,4,6,19,10,60
100,4,5,04,10,01
10,5,0,89,1,43
15,5,1,15,2,30
20,5,1,28,2,80
25,5,2,12,3,79
30,5,1,52,2,70
35,5,2,52,4,24
40,5,2,19,4,50
45,5,2,86,5,58
50,5,3,30,6,09
55,5,3,48,6,42
60,5,2,14,5,34
65,5,3,30,7,56
70,5,4,29,7,79
75,5,5,69,9,51
80,5,4,35,8,96
85,5,3,48,7,54
90,5,5,02,10,27
95,5,4,70,9,02
100,5,7,60,11,46
10,6,1,10,2,30
15,6,1,57,2,99
20,6,2,55,4,49
25,6,2,53,4,86
30,6,3,31,5,09
35,6,2,39,4,79
40,6,2,29,5,09
45,6,3,09,5,68
50,6,3,40,6,07
55,6,3,75,7,14
60,6,2,77,6,35
65,6,5,26,8,92
70,6,3,77,7,60
75,6,3,73,7,86
80,6,4,93,10,00
85,6,5,91,11,70
90,6,4,84,10,32
95,6,5,36,10,17
100,6,5,41,11,20
10,7,1,21,2,37
15,7,1,25,2,69
20,7,2,00,4,59
25,7,1,74,4,12
30,7,2,07,4,79
35,7,2,88,6,41
40,7,2,62,5,83
45,7,2,42,5,23
50,7,3,25,6,84
55,7,3,41,7,03
60,7,3,25,7,64
65,7,3,81,7,64
70,7,3,87,7,88
75,7,4,26,8,73
80,7,4,84,8,70
85,7,4,57,9,25
90,7,4,63,9,57
95,7,5,70,11,43
100,7,4,94,11,02
10,8,1,28,2,42
15,8,1,68,3,86
20,8,1,74,4,20
25,8,2,15,5,33
30,8,2,54,5,44
35,8,3,43,6,65
40,8,3,00,5,92
45,8,2,90,6,07
50,8,3,09,7,14
55,8,3,43,7,71
60,8,3,22,7,81
65,8,3,40,8,49
70,8,4,91,10,57
75,8,4,90,8,88
80,8,4,57,9,86
85,8,4,47,11,13
90,8,6,44,13,75
95,8,3,79,9,07
100,8,6,01,11,73
10,9,1,28,2,99
15,9,2,26,4,62
20,9,1,82,4,62
25,9,2,44,4,88
30,9,2,70,4,85
35,9,2,30,5,57
40,9,3,03,6,65
45,9,2,49,5,75
50,9,2,05,5,89
55,9,3,42,7,93
60,9,3,16,8,25
65,9,4,36,9,45
70,9,4,50,9,01
75,9,4,04,7,28
80,9,5,41,11,22
85,9,4,12,9,87
90,9,4,17,10,03
95,9,4,91,11,11
100,9,8,12,15,21
10,10,1,35,3,34
15,10,2,09,4,99
20,10,2,07,4,50
25,10,1,92,5,04
30,10,2,57,6,07
35,10,3,11,7,14
40,10,3,28,7,34
45,10,3,37,7,02
50,10,3,76,8,53
55,10,3,84,9,04
60,10,4,61,9,71
65,10,4,74,10,11
70,10,4,03,9,07
75,10,4,70,10,16
80,10,4,64,12,44
85,10,4,15,8,18
90,10,5,22,11,87
95,10,5,22,11,90
100,10,5,99,12,68
